Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/books [GET],1477,5,5200.0,6032.086121919915,644.395583003643,67040.26966700621,525658.2362897766,2.7948344302730335,0.009461186290700859,5200,5800,6100,6300,9500,14000,36000,59000,66000,67000,67000
GET,/api/books/author/[author] [GET],462,0,4900.0,5650.433967633951,157.02037498704158,65033.674999998766,180602.4696969697,0.8742136132607593,0.0,4900,5300,5700,5900,9700,15000,36000,58000,65000,65000,65000
POST,/api/books/insert [POST],156,0,4400.0,4450.864546724729,157.9102500109002,56955.27733399649,127.0,0.29518901226986677,0.0,4400,4800,5300,5500,6100,11000,17000,36000,57000,57000,57000
GET,/api/books/isbn/[isbn] [GET],751,3,4500.0,5140.45097263273,153.2838749990333,64464.875541001675,301.67909454061254,1.421070180863269,0.005676711774420516,4500,5000,5400,5600,9100,13000,18000,63000,64000,64000,64000
POST,/login,412,0,19000.0,23097.00073951965,542.0678749942454,56448.886375001166,722.2621359223301,0.7796017503537508,0.0,20000,32000,38000,41000,50000,54000,55000,56000,56000,56000,56000
,Aggregated,3258,8,5100.0,7854.717479908211,153.2838749990333,67040.26966700621,264082.105893186,6.16490898702068,0.015137898065121374,5100,5700,6200,6700,16000,36000,54000,58000,66000,67000,67000
