Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/books [GET],1377,10,2700.0,4441.903391366238,681.938708992675,74027.14891699725,556313.7175018155,2.2763361302044474,0.016531126581005428,2700,3200,3500,3800,5100,13000,47000,59000,70000,74000,74000
GET,/api/books/author/[author] [GET],423,2,2300.0,3379.4593335340264,159.83333300391678,73106.37062499882,185619.4302600473,0.6992666543765296,0.0033062253162010856,2300,2800,3000,3300,4100,7100,18000,47000,73000,73000,73000
POST,/api/books/insert [POST],130,0,2100.0,3154.7332349074377,158.5849999974016,67882.98591699277,127.0,0.21490464555307057,0.0,2100,2400,2700,3000,3700,5700,19000,58000,68000,68000,68000
GET,/api/books/isbn/[isbn] [GET],683,2,2200.0,3611.9878509107575,157.542208005907,69010.43979199312,301.3792093704246,1.1290759454826707,0.0033062253162010856,2200,2500,2800,3000,4100,11000,21000,58000,69000,69000,69000
POST,/login,400,0,22000.0,24558.683181849596,515.2445830026409,61949.45329100301,722.2875,0.661245063240217,0.0,22000,34000,40000,44000,52000,55000,57000,58000,62000,62000,62000
,Aggregated,3013,14,2600.0,6719.74396397148,157.542208005907,74027.14891699725,280475.36508463323,4.9808284388569355,0.0231435772134076,2600,3300,3900,4600,18000,39000,53000,58000,70000,74000,74000
