Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/books [GET],369,3,23000.0,27100.82122031734,3519.090709014563,108718.15083399997,1842866.6883468835,1.0436807103794659,0.008485209027475333,23000,24000,24000,24000,26000,101000,102000,104000,109000,109000,109000
GET,/api/books/author/[author] [GET],99,0,22000.0,22415.092288292446,1928.1103330140468,102452.61312500224,599997.3333333334,0.28001189790668596,0.0,22000,22000,23000,23000,24000,25000,101000,102000,102000,102000,102000
POST,/api/books/insert [POST],41,0,21000.0,22649.578776315604,17848.27462499379,100443.89770898852,127.0,0.11596452337549622,0.0,21000,22000,22000,22000,23000,23000,100000,100000,100000,100000,100000
GET,/api/books/isbn/[isbn] [GET],175,2,21000.0,23047.042303576447,5317.334291990846,117525.00483300537,299.70285714285717,0.4949705266027277,0.005656806018316888,21000,22000,22000,22000,23000,24000,99000,105000,118000,118000,118000
POST,/login,439,0,24000.0,27800.44385950272,654.5607500011101,75608.6354579893,722.2938496583143,1.241668921020557,0.0,24000,38000,44000,48000,57000,71000,74000,75000,76000,76000,76000
,Aggregated,1123,5,22000.0,26167.014384785893,654.5607500011101,117525.00483300537,658764.2796081924,3.1762965792849327,0.014142015045792222,22000,24000,25000,30000,49000,61000,101000,102000,109000,118000,118000
