Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/books [GET],488,5,23000.0,31816.273658871403,12451.33987502777,88005.20124999457,1811571.899590164,0.932611956318516,0.009555450372115942,23000,25000,28000,56000,60000,69000,81000,86000,88000,88000,88000
GET,/api/books/author/[author] [GET],132,1,23000.0,33393.93908588042,11534.228750009788,84812.70783400396,535071.3787878788,0.2522638898238609,0.0019110900744231886,23000,25000,56000,57000,60000,69000,80000,81000,85000,85000,85000
POST,/api/books/insert [POST],60,1,22000.0,30756.21125553201,13108.72124999878,77511.66762498906,127.23333333333333,0.11466540446539132,0.0019110900744231886,22000,25000,26000,56000,63000,68000,70000,78000,78000,78000,78000
GET,/api/books/isbn/[isbn] [GET],191,0,21000.0,30215.276497158236,7094.812458002707,85946.06012498843,302.1780104712042,0.365018204214829,0.0,21000,24000,27000,55000,57000,63000,69000,82000,86000,86000,86000
POST,/login,396,0,19000.0,20388.251687272903,739.7767909860704,50577.991124999244,722.5782828282828,0.7567916694715827,0.0,19000,29000,32000,35000,40000,42000,44000,48000,51000,51000,51000
,Aggregated,1267,7,23000.0,28117.268870808748,739.7767909860704,88005.20124999457,753771.1128650355,2.42135112429418,0.01337763052096232,23000,25000,32000,38000,58000,61000,71000,81000,88000,88000,88000
