Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/books [GET],458,9,21000.0,23695.97552848285,5584.568375023082,100936.16004200885,1779761.5327510918,0.9214224606710923,0.0181065549040171,21000,22000,23000,23000,25000,71000,93000,101000,101000,101000,101000
GET,/api/books/author/[author] [GET],147,1,19000.0,21758.23596879709,5373.494958010269,101244.66558298445,620770.619047619,0.29574039676561265,0.0020118394337796776,19000,21000,22000,22000,24000,33000,99000,99000,101000,101000,101000
POST,/api/books/insert [POST],53,1,19000.0,19118.70614850986,5920.687083998928,69489.21970900847,127.26415094339623,0.10662748999032291,0.0020118394337796776,19000,20000,20000,20000,21000,22000,24000,69000,69000,69000,69000
GET,/api/books/isbn/[isbn] [GET],217,1,19000.0,21421.448843879825,2972.6558749971446,98680.27887499193,302.0046082949309,0.43656915713019007,0.0020118394337796776,19000,20000,21000,22000,23000,66000,94000,98000,99000,99000,99000
POST,/login,432,0,21000.0,25335.38787944667,690.4130839975551,72565.9784169984,722.2777777777778,0.8691146353928207,0.0,22000,34000,41000,44000,53000,56000,71000,72000,73000,73000,73000
,Aggregated,1307,12,20000.0,23456.65712958852,690.4130839975551,101244.66558298445,693778.3986228004,2.6294741399500388,0.02414207320535613,20000,22000,24000,26000,45000,57000,79000,99000,101000,101000,101000
