Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/books [GET],562,4,1500.0,2199.130842667229,683.7387919949833,19072.61370800552,1145160.128113879,1.8811482125702732,0.013388955249610486,1500,2000,2400,2800,3400,4600,12000,16000,19000,19000,19000
POST,/api/books/insert [POST],5792,6,190.0,786.125070593777,154.94566698907875,17738.799874990946,127.0310773480663,19.387207201435984,0.02008343287441573,190,350,750,970,1600,2200,10000,11000,17000,18000,18000
GET,/api/books/isbn/[isbn] [GET],570,0,200.0,880.65571300208,153.7443749984959,16022.026083010132,301.88421052631577,1.9079261230694942,0.0,200,450,820,960,1600,2600,11000,11000,16000,16000,16000
POST,/login,100,0,5700.0,5656.237994949333,666.1905829969328,10562.53412499791,722.19,0.33472388124026214,0.0,5700,7200,8000,8400,9300,9700,10000,11000,11000,11000,11000
,Aggregated,7024,10,210.0,976.1881404277144,153.7443749984959,19072.61370800552,91765.38283029613,23.511005418316014,0.03347238812402621,210,660,1000,1200,2000,3100,11000,11000,17000,19000,19000
