Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/books [GET],2,2,122260.47562499298,122301.98029149324,122260.47562499298,122343.4849579935,141.0,0.014750748936181541,0.014750748936181541,122000,122000,122000,122000,122000,122000,122000,122000,122000,122000,122000
POST,/api/books/insert [POST],1,1,109410.42062500492,109410.42062500492,109410.42062500492,109410.42062500492,141.0,0.007375374468090771,0.007375374468090771,109000,109000,109000,109000,109000,109000,109000,109000,109000,109000,109000
GET,/api/books/isbn/[isbn] [GET],1,1,109410.10795900365,109410.10795900365,109410.10795900365,109410.10795900365,141.0,0.007375374468090771,0.007375374468090771,109000,109000,109000,109000,109000,109000,109000,109000,109000,109000,109000
POST,/login,429,0,32000.0,32051.157229922796,1125.779166992288,71279.71066700411,722.2540792540792,3.1640356468109405,0.0,32000,43000,51000,54000,62000,66000,69000,70000,71000,71000,71000
,Aggregated,433,4,32000.0,32825.33704573643,1125.779166992288,122343.4849579935,716.8845265588915,3.1935371446833036,0.029501497872363083,32000,44000,52000,55000,63000,67000,70000,71000,122000,122000,122000
