Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/books [GET],1560,3,5000.0,5404.120767483728,635.9743749926565,79028.95525000349,491138.70448717946,4.332186808960238,0.008331128478769687,5000,5500,5700,5900,6500,12000,17000,45000,76000,79000,79000
GET,/api/books/author/[author] [GET],489,0,4600.0,5616.31239026161,157.16179199807812,78895.96662500117,167394.5889570552,1.3579739420394592,0.0,4600,5000,5300,5500,6300,14000,45000,67000,79000,79000,79000
POST,/api/books/insert [POST],152,0,4300.0,4194.374953354782,161.78233300161082,63252.44299999031,127.0,0.4221105095909975,0.0,4400,4800,5100,5200,5700,6000,11000,20000,63000,63000,63000
GET,/api/books/isbn/[isbn] [GET],748,1,4400.0,5311.797517445459,155.35745800298173,78902.70958299516,302.153743315508,2.077228034039909,0.0027770428262565627,4400,4800,5000,5200,6100,12000,45000,69000,79000,79000,79000
POST,/login,458,0,23000.0,26601.69337773585,557.2069170011673,65011.471040998,722.292576419214,1.2718856144255057,0.0,23000,36000,44000,49000,56000,60000,63000,63000,65000,65000,65000
,Aggregated,3407,4,4900.0,8209.90615176833,155.35745800298173,79028.95525000349,249077.9154681538,9.46138490905611,0.01110817130502625,4900,5400,5900,6300,17000,43000,57000,63000,79000,79000,79000
