Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/user-profile,462,0,360.0,2702.283772077928,172.50160000003234,16928.632000000107,80.34848484848484,16.979686188418807,0.0,360,550,3000,4900,11000,14000,16000,17000,17000,17000,17000
POST,/auth/login,150,1,10000.0,10828.40655133334,2257.7398000003086,21021.27819999987,736.2733333333333,5.512885126110002,0.03675256750740002,11000,13000,15000,17000,19000,20000,21000,21000,21000,21000,21000
POST,/auth/refresh,115,0,300.0,333.44615391305643,167.66890000053536,1279.7719999998662,343.2086956521739,4.226545263351002,0.0,300,340,370,380,430,590,810,1200,1300,1300,1300
,Aggregated,727,1,400.0,4004.2123701513124,167.66890000053536,21021.27819999987,257.2640990371389,26.71911657787981,0.03675256750740002,400,2900,7000,9400,13000,17000,19000,20000,21000,21000,21000
