Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/user-profile,16880,9,200.0,722.2268117713369,163.9313999994556,56555.481999999756,80.4120260663507,59.785395229414554,0.031876099352176,200,320,380,430,660,1400,11000,15000,19000,53000,57000
POST,/auth/login,300,2,11000.0,10938.597973333328,1938.1893999998283,21405.391000000236,737.29,1.0625366450725335,0.00708357763381689,11000,14000,15000,17000,19000,20000,21000,21000,21000,21000,21000
POST,/auth/refresh,3270,0,190.0,363.34100201835685,163.50580000016635,15336.797500000102,343.47400611620793,11.581649431290614,0.0,190,280,340,370,520,730,1300,1500,15000,15000,15000
,Aggregated,20450,11,200.0,814.7135966405936,163.50580000016635,56555.481999999756,132.1125672371638,72.4295813057777,0.0389596769859929,200,320,380,430,700,1600,13000,15000,20000,50000,57000
