Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/user-profile,5,0,210.0,210.60509999988426,201.79459999963,217.0906000001196,78.4,0.730825981548905,0.0,210,210,210,220,220,220,220,220,220,220,220
POST,/auth/login,45,0,4300.0,4398.491055555537,2092.4034999998185,6810.824700000012,739.8222222222222,6.577433833940145,0.0,4300,4700,6500,6500,6700,6700,6800,6800,6800,6800,6800
POST,/auth/refresh,7,0,200.0,245.26818571406952,188.42430000040622,381.4695999999458,342.7142857142857,1.0231563741684668,0.0,200,200,350,350,380,380,380,380,380,380,380
,Aggregated,57,0,2600.0,3521.0877245613515,188.42430000040622,6810.824700000012,633.0350877192982,8.331416189657515,0.0,2600,4600,6300,6500,6700,6700,6800,6800,6800,6800,6800
