Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/user-profile,1,0,208.13859999998385,208.13859999998385,208.13859999998385,208.13859999998385,76.0,0.20889289312620868,0.0,210,210,210,210,210,210,210,210,210,210,210
POST,/auth/login,30,0,2400.0,3043.0031400000194,2112.354399999276,4644.189599999663,740.1,6.2667867937862605,0.0,2500,2600,4300,4400,4500,4600,4600,4600,4600,4600,4600
POST,/auth/refresh,4,0,190.0,241.4179999998396,187.0299000001978,384.9971999998161,343.0,0.8355715725048347,0.0,200,200,380,380,380,380,380,380,380,380,380
,Aggregated,35,0,2400.0,2641.825851428569,187.0299000001978,4644.189599999663,675.7428571428571,7.311251259417304,0.0,2400,2500,4300,4400,4500,4600,4600,4600,4600,4600,4600
