Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/user-profile,39694,0,180.0,315.7926252380769,161.87249999984488,19018.15740000029,80.489368670328,84.47814842541389,0.0,180,180,190,190,200,210,700,4600,16000,19000,19000
POST,/auth/login,300,2,11000.0,10858.951995000027,2096.0144000000582,21073.495300000104,737.29,0.6384704118411892,0.004256469412274595,11000,13000,15000,17000,20000,20000,21000,21000,21000,21000,21000
POST,/auth/refresh,7861,0,180.0,196.6053108892013,161.9959999998173,3660.45159999976,343.5695204172497,16.730053024945295,0.0,180,180,180,190,190,200,220,490,3600,3700,3700
,Aggregated,47855,2,180.0,362.30848215651946,161.87249999984488,21073.495300000104,127.82221293490754,101.84667186220038,0.004256469412274595,180,180,190,190,200,210,2400,7800,18000,21000,21000
